Domestic,TripReason,Vehicle,LogPrice,LogLeadTime,TimeOfDay,From_Rate,To_Rate,Route_Rate,User_Rate
1,0,1,14.528705433827998,2.9724005836923255,3,0.1655284390896924,0.14974230015187923,0.1855085818641225,0.11477554306126812
1,0,1,14.299786846496728,2.7342436614128327,2,0.14293223542897673,0.14971349215343616,0.16494151407921234,0.11477554306126812
1,0,1,14.255699102130825,2.4631581773796825,0,0.14293223542897673,0.14971349215343616,0.16494151407921234,0.11477554306126812
1,0,1,14.706893654132244,3.065074857881192,1,0.1065704742436525,0.14974230015187923,0.12372785206521168,0.13773065167352175
1,0,0,13.579788224443204,1.3554356191259038,0,0.14293223542897673,0.15691129098709405,0.11949570037189372,0.13773065167352175
1,1,0,14.457364444136669,0.7982692667540593,2,0.1278321167139112,0.16533242429610906,0.13773065167352175,0.11477554306126812
1,0,2,16.425065512317385,2.9116443778638716,2,0.10267903772247786,0.14974230015187923,0.10390572558781996,0.13773065167352175
1,0,1,15.041489442552825,2.9038145918008764,2,0.14293223542897673,0.14971349215343616,0.16494151407921234,0.11477554306126812
1,0,1,14.255699102130825,0.5360375933370933,0,0.14293223542897673,0.14971349215343616,0.16494151407921234,0.13773065167352175
1,1,1,15.19188083788647,2.749576949447361,1,0.13627394034700333,0.14974230015187923,0.14445671053494624,0.13773065167352175
1,1,0,14.01436141670944,1.2032471487404846,1,0.14293223542897673,0.1577597428068116,0.15505982431004128,0.0983790369096584
1,0,1,14.466532812223548,2.19208573635916,1,0.16544028676247094,0.20503075355646957,0.22762324401885173,0.13773065167352175
1,1,1,14.810797296064926,0.7914993250646196,1,0.13794886660823313,0.14974230015187923,0.14984075631631125,0.13773065167352175
1,0,0,14.01436141670944,0.64502634008648,0,0.14288943820223704,0.13498818023020073,0.14886946914077645,0.13773065167352175
1,1,2,15.852696786746996,0.33991177592770877,1,0.14288943820223704,0.14963380452892425,0.16476449159735715,0.13773065167352175
1,1,0,13.997832114758229,0.25167953651790054,1,0.10848980171669437,0.14974230015187923,0.14035319421908607,0.0983790369096584
1,1,0,14.682611045647658,1.2690390182404303,1,0.14857300982352867,0.14974230015187923,0.22924355055784057,0.13773065167352175
1,1,1,11.156250521031495,1.3630398225844598,0,0.06537603949534158,0.14974230015187923,0.03033965249902823,0.11477554306126812
1,1,0,13.710150042306449,1.6500473065787193,2,0.14293223542897673,0.13773065167352175,0.13773065167352175,0.13773065167352175
1,1,1,14.468096126768097,1.6697826105439595,2,0.14293223542897673,0.1455289760138955,0.14734802516022222,0.21108165729595108
1,0,1,14.602830908541469,3.104613756761635,3,0.14931376283072256,0.14971349215343616,0.13935161476386335,0.13773065167352175
1,0,0,13.122363377404328,0.3329088267584913,0,0.14293223542897673,0.11713592611909708,0.13590299299616257,0.0983790369096584
1,1,0,12.994530005894443,0.13907514257249637,2,0.08529847144132925,0.099238327652824,0.06340933226239441,0.06260484166978261
